month,department,level,headcount_or_hires,avg_salary_or_exits,location
2024-01-01,Sales,Junior,13,35000.0,Bangkok HQ
2024-01-01,Sales,Mid,13,52100.0,Bangkok HQ
2024-01-01,Sales,Senior,9,61700.0,Rayong Plant
2024-01-01,Sales,Lead,5,70800.0,Bangkok HQ
2024-01-01,Sales,Manager,4,105600.0,Bangkok HQ
2024-01-01,Sales,_movement,0,0,ALL
2024-01-01,Marketing,Junior,3,29200.0,Bangkok HQ
2024-01-01,Marketing,Mid,3,39600.0,Bangkok HQ
2024-01-01,Marketing,Senior,2,58800.0,Bangkok HQ
2024-01-01,Marketing,Lead,1,91100.0,Bangkok HQ
2024-01-01,Marketing,Manager,1,95500.0,Rayong Plant
2024-01-01,Marketing,_movement,1,1,ALL
2024-01-01,Engineering,Junior,9,44900.0,Chiang Mai Hub
2024-01-01,Engineering,Mid,9,48200.0,Bangkok HQ
2024-01-01,Engineering,Senior,6,63800.0,Bangkok HQ
2024-01-01,Engineering,Lead,3,84200.0,Bangkok HQ
2024-01-01,Engineering,Manager,2,150500.0,Bangkok HQ
2024-01-01,Engineering,_movement,3,1,ALL
2024-01-01,Finance,Junior,11,39500.0,Rayong Plant
2024-01-01,Finance,Mid,11,45300.0,Bangkok HQ
2024-01-01,Finance,Senior,7,71800.0,Rayong Plant
2024-01-01,Finance,Lead,4,79800.0,Bangkok HQ
2024-01-01,Finance,Manager,3,123700.0,Bangkok HQ
2024-01-01,Finance,_movement,1,0,ALL
2024-01-01,Operations,Junior,4,28400.0,Bangkok HQ
2024-01-01,Operations,Mid,4,59500.0,Rayong Plant
2024-01-01,Operations,Senior,3,94900.0,Rayong Plant
2024-01-01,Operations,Lead,2,83600.0,Rayong Plant
2024-01-01,Operations,Manager,1,94700.0,Bangkok HQ
2024-01-01,Operations,_movement,1,0,ALL
2024-01-01,HR,Junior,4,30400.0,Rayong Plant
2024-01-01,HR,Mid,4,65500.0,Bangkok HQ
2024-01-01,HR,Senior,3,70500.0,Chiang Mai Hub
2024-01-01,HR,Lead,2,88200.0,Bangkok HQ
2024-01-01,HR,Manager,1,96000.0,Bangkok HQ
2024-01-01,HR,_movement,1,0,ALL
2024-01-01,Customer Success,Junior,4,27100.0,Bangkok HQ
2024-01-01,Customer Success,Mid,4,65300.0,Bangkok HQ
2024-01-01,Customer Success,Senior,3,58300.0,Chiang Mai Hub
2024-01-01,Customer Success,Lead,2,95700.0,Bangkok HQ
2024-01-01,Customer Success,Manager,1,127300.0,Bangkok HQ
2024-01-01,Customer Success,_movement,0,0,ALL
2024-02-01,Sales,Junior,14,39800.0,Chiang Mai Hub
2024-02-01,Sales,Mid,14,54900.0,Bangkok HQ
2024-02-01,Sales,Senior,9,98600.0,Chiang Mai Hub
2024-02-01,Sales,Lead,6,125000.0,Bangkok HQ
2024-02-01,Sales,Manager,4,90200.0,Bangkok HQ
2024-02-01,Sales,_movement,3,0,ALL
2024-02-01,Marketing,Junior,3,44700.0,Bangkok HQ
2024-02-01,Marketing,Mid,3,40900.0,Rayong Plant
2024-02-01,Marketing,Senior,2,93100.0,Rayong Plant
2024-02-01,Marketing,Lead,1,87200.0,Bangkok HQ
2024-02-01,Marketing,Manager,1,113100.0,Bangkok HQ
2024-02-01,Marketing,_movement,1,0,ALL
2024-02-01,Engineering,Junior,9,27700.0,Bangkok HQ
2024-02-01,Engineering,Mid,9,42500.0,Bangkok HQ
2024-02-01,Engineering,Senior,6,97100.0,Bangkok HQ
2024-02-01,Engineering,Lead,4,96800.0,Bangkok HQ
2024-02-01,Engineering,Manager,2,128300.0,Bangkok HQ
2024-02-01,Engineering,_movement,1,0,ALL
2024-02-01,Finance,Junior,11,43500.0,Bangkok HQ
2024-02-01,Finance,Mid,11,59600.0,Rayong Plant
2024-02-01,Finance,Senior,8,97700.0,Bangkok HQ
2024-02-01,Finance,Lead,5,87000.0,Rayong Plant
2024-02-01,Finance,Manager,3,131100.0,Rayong Plant
2024-02-01,Finance,_movement,3,1,ALL
2024-02-01,Operations,Junior,4,39500.0,Bangkok HQ
2024-02-01,Operations,Mid,4,44900.0,Bangkok HQ
2024-02-01,Operations,Senior,3,69300.0,Bangkok HQ
2024-02-01,Operations,Lead,2,107700.0,Bangkok HQ
2024-02-01,Operations,Manager,1,121300.0,Bangkok HQ
2024-02-01,Operations,_movement,0,0,ALL
2024-02-01,HR,Junior,4,25400.0,Bangkok HQ
2024-02-01,HR,Mid,4,41300.0,Bangkok HQ
2024-02-01,HR,Senior,3,79200.0,Bangkok HQ
2024-02-01,HR,Lead,2,121000.0,Bangkok HQ
2024-02-01,HR,Manager,1,110500.0,Bangkok HQ
2024-02-01,HR,_movement,0,0,ALL
2024-02-01,Customer Success,Junior,5,29600.0,Bangkok HQ
2024-02-01,Customer Success,Mid,5,47800.0,Bangkok HQ
2024-02-01,Customer Success,Senior,3,66200.0,Bangkok HQ
2024-02-01,Customer Success,Lead,2,119700.0,Bangkok HQ
2024-02-01,Customer Success,Manager,1,119100.0,Rayong Plant
2024-02-01,Customer Success,_movement,3,0,ALL
2024-03-01,Sales,Junior,14,31000.0,Bangkok HQ
2024-03-01,Sales,Mid,14,58500.0,Bangkok HQ
2024-03-01,Sales,Senior,9,66800.0,Rayong Plant
2024-03-01,Sales,Lead,6,71000.0,Bangkok HQ
2024-03-01,Sales,Manager,4,154500.0,Bangkok HQ
2024-03-01,Sales,_movement,0,0,ALL
2024-03-01,Marketing,Junior,3,44600.0,Bangkok HQ
2024-03-01,Marketing,Mid,3,52700.0,Bangkok HQ
2024-03-01,Marketing,Senior,2,72500.0,Bangkok HQ
2024-03-01,Marketing,Lead,1,98800.0,Bangkok HQ
2024-03-01,Marketing,Manager,1,97100.0,Bangkok HQ
2024-03-01,Marketing,_movement,0,1,ALL
2024-03-01,Engineering,Junior,9,35900.0,Bangkok HQ
2024-03-01,Engineering,Mid,9,66000.0,Bangkok HQ
2024-03-01,Engineering,Senior,6,88800.0,Bangkok HQ
2024-03-01,Engineering,Lead,4,115100.0,Rayong Plant
2024-03-01,Engineering,Manager,2,146900.0,Bangkok HQ
2024-03-01,Engineering,_movement,1,1,ALL
2024-03-01,Finance,Junior,11,27300.0,Bangkok HQ
2024-03-01,Finance,Mid,11,38700.0,Bangkok HQ
2024-03-01,Finance,Senior,8,78600.0,Bangkok HQ
2024-03-01,Finance,Lead,5,74000.0,Bangkok HQ
2024-03-01,Finance,Manager,3,95400.0,Bangkok HQ
2024-03-01,Finance,_movement,0,0,ALL
2024-03-01,Operations,Junior,4,43200.0,Bangkok HQ
2024-03-01,Operations,Mid,4,49000.0,Bangkok HQ
2024-03-01,Operations,Senior,3,76500.0,Bangkok HQ
2024-03-01,Operations,Lead,2,116500.0,Rayong Plant
2024-03-01,Operations,Manager,1,138800.0,Bangkok HQ
2024-03-01,Operations,_movement,0,0,ALL
2024-03-01,HR,Junior,4,34900.0,Rayong Plant
2024-03-01,HR,Mid,4,38800.0,Bangkok HQ
2024-03-01,HR,Senior,3,62500.0,Bangkok HQ
2024-03-01,HR,Lead,2,86400.0,Bangkok HQ
2024-03-01,HR,Manager,1,122100.0,Bangkok HQ
2024-03-01,HR,_movement,1,1,ALL
2024-03-01,Customer Success,Junior,5,44400.0,Chiang Mai Hub
2024-03-01,Customer Success,Mid,5,66200.0,Rayong Plant
2024-03-01,Customer Success,Senior,3,91800.0,Rayong Plant
2024-03-01,Customer Success,Lead,2,103600.0,Rayong Plant
2024-03-01,Customer Success,Manager,1,150200.0,Bangkok HQ
2024-03-01,Customer Success,_movement,0,1,ALL
2024-04-01,Sales,Junior,14,41800.0,Bangkok HQ
2024-04-01,Sales,Mid,14,63300.0,Rayong Plant
2024-04-01,Sales,Senior,10,95900.0,Bangkok HQ
2024-04-01,Sales,Lead,6,104100.0,Bangkok HQ
2024-04-01,Sales,Manager,4,94700.0,Bangkok HQ
2024-04-01,Sales,_movement,1,0,ALL
2024-04-01,Marketing,Junior,4,37800.0,Rayong Plant
2024-04-01,Marketing,Mid,4,47900.0,Bangkok HQ
2024-04-01,Marketing,Senior,2,88400.0,Bangkok HQ
2024-04-01,Marketing,Lead,1,84500.0,Bangkok HQ
2024-04-01,Marketing,Manager,1,144600.0,Rayong Plant
2024-04-01,Marketing,_movement,3,1,ALL
2024-04-01,Engineering,Junior,9,28500.0,Bangkok HQ
2024-04-01,Engineering,Mid,9,38500.0,Bangkok HQ
2024-04-01,Engineering,Senior,6,61100.0,Bangkok HQ
2024-04-01,Engineering,Lead,3,85900.0,Rayong Plant
2024-04-01,Engineering,Manager,2,141900.0,Chiang Mai Hub
2024-04-01,Engineering,_movement,0,1,ALL
2024-04-01,Finance,Junior,11,29100.0,Bangkok HQ
2024-04-01,Finance,Mid,11,62100.0,Bangkok HQ
2024-04-01,Finance,Senior,7,94600.0,Bangkok HQ
2024-04-01,Finance,Lead,4,86600.0,Bangkok HQ
2024-04-01,Finance,Manager,3,110900.0,Rayong Plant
2024-04-01,Finance,_movement,0,1,ALL
2024-04-01,Operations,Junior,4,42500.0,Rayong Plant
2024-04-01,Operations,Mid,4,50700.0,Bangkok HQ
2024-04-01,Operations,Senior,3,60400.0,Chiang Mai Hub
2024-04-01,Operations,Lead,2,90000.0,Bangkok HQ
2024-04-01,Operations,Manager,1,156000.0,Bangkok HQ
2024-04-01,Operations,_movement,0,0,ALL
2024-04-01,HR,Junior,4,38300.0,Chiang Mai Hub
2024-04-01,HR,Mid,4,41400.0,Bangkok HQ
2024-04-01,HR,Senior,3,94900.0,Rayong Plant
2024-04-01,HR,Lead,2,124200.0,Rayong Plant
2024-04-01,HR,Manager,1,137200.0,Rayong Plant
2024-04-01,HR,_movement,0,0,ALL
2024-04-01,Customer Success,Junior,5,39000.0,Bangkok HQ
2024-04-01,Customer Success,Mid,5,44200.0,Rayong Plant
2024-04-01,Customer Success,Senior,3,94000.0,Bangkok HQ
2024-04-01,Customer Success,Lead,2,106100.0,Bangkok HQ
2024-04-01,Customer Success,Manager,1,118200.0,Bangkok HQ
2024-04-01,Customer Success,_movement,1,0,ALL
2024-05-01,Sales,Junior,14,42900.0,Bangkok HQ
2024-05-01,Sales,Mid,14,38900.0,Bangkok HQ
2024-05-01,Sales,Senior,10,81500.0,Bangkok HQ
2024-05-01,Sales,Lead,6,92200.0,Bangkok HQ
2024-05-01,Sales,Manager,4,141400.0,Bangkok HQ
2024-05-01,Sales,_movement,0,0,ALL
2024-05-01,Marketing,Junior,3,28000.0,Bangkok HQ
2024-05-01,Marketing,Mid,3,47600.0,Bangkok HQ
2024-05-01,Marketing,Senior,2,67100.0,Rayong Plant
2024-05-01,Marketing,Lead,1,70100.0,Rayong Plant
2024-05-01,Marketing,Manager,1,109100.0,Bangkok HQ
2024-05-01,Marketing,_movement,1,2,ALL
2024-05-01,Engineering,Junior,9,34500.0,Bangkok HQ
2024-05-01,Engineering,Mid,9,58300.0,Bangkok HQ
2024-05-01,Engineering,Senior,6,68800.0,Bangkok HQ
2024-05-01,Engineering,Lead,4,102800.0,Bangkok HQ
2024-05-01,Engineering,Manager,2,142200.0,Bangkok HQ
2024-05-01,Engineering,_movement,1,0,ALL
2024-05-01,Finance,Junior,11,28900.0,Bangkok HQ
2024-05-01,Finance,Mid,11,41200.0,Rayong Plant
2024-05-01,Finance,Senior,7,96700.0,Bangkok HQ
2024-05-01,Finance,Lead,4,109500.0,Bangkok HQ
2024-05-01,Finance,Manager,3,154300.0,Bangkok HQ
2024-05-01,Finance,_movement,2,2,ALL
2024-05-01,Operations,Junior,4,42800.0,Bangkok HQ
2024-05-01,Operations,Mid,4,43000.0,Bangkok HQ
2024-05-01,Operations,Senior,3,55700.0,Chiang Mai Hub
2024-05-01,Operations,Lead,2,89800.0,Rayong Plant
2024-05-01,Operations,Manager,1,108600.0,Bangkok HQ
2024-05-01,Operations,_movement,0,1,ALL
2024-05-01,HR,Junior,4,42100.0,Bangkok HQ
2024-05-01,HR,Mid,4,41500.0,Bangkok HQ
2024-05-01,HR,Senior,3,93600.0,Bangkok HQ
2024-05-01,HR,Lead,2,80900.0,Bangkok HQ
2024-05-01,HR,Manager,1,144300.0,Bangkok HQ
2024-05-01,HR,_movement,2,1,ALL
2024-05-01,Customer Success,Junior,5,27600.0,Bangkok HQ
2024-05-01,Customer Success,Mid,5,62100.0,Bangkok HQ
2024-05-01,Customer Success,Senior,3,56300.0,Chiang Mai Hub
2024-05-01,Customer Success,Lead,2,77100.0,Rayong Plant
2024-05-01,Customer Success,Manager,1,146800.0,Rayong Plant
2024-05-01,Customer Success,_movement,0,0,ALL
2024-06-01,Sales,Junior,15,40800.0,Rayong Plant
2024-06-01,Sales,Mid,15,43500.0,Bangkok HQ
2024-06-01,Sales,Senior,10,74200.0,Bangkok HQ
2024-06-01,Sales,Lead,6,115100.0,Bangkok HQ
2024-06-01,Sales,Manager,4,130500.0,Rayong Plant
2024-06-01,Sales,_movement,2,0,ALL
2024-06-01,Marketing,Junior,4,25100.0,Bangkok HQ
2024-06-01,Marketing,Mid,4,40900.0,Bangkok HQ
2024-06-01,Marketing,Senior,3,58000.0,Bangkok HQ
2024-06-01,Marketing,Lead,2,85100.0,Bangkok HQ
2024-06-01,Marketing,Manager,1,102900.0,Rayong Plant
2024-06-01,Marketing,_movement,2,0,ALL
2024-06-01,Engineering,Junior,8,30100.0,Bangkok HQ
2024-06-01,Engineering,Mid,8,42700.0,Bangkok HQ
2024-06-01,Engineering,Senior,6,79000.0,Bangkok HQ
2024-06-01,Engineering,Lead,3,110800.0,Bangkok HQ
2024-06-01,Engineering,Manager,2,148600.0,Bangkok HQ
2024-06-01,Engineering,_movement,0,2,ALL
2024-06-01,Finance,Junior,12,29100.0,Chiang Mai Hub
2024-06-01,Finance,Mid,12,54700.0,Rayong Plant
2024-06-01,Finance,Senior,8,93600.0,Bangkok HQ
2024-06-01,Finance,Lead,5,70100.0,Bangkok HQ
2024-06-01,Finance,Manager,3,93800.0,Bangkok HQ
2024-06-01,Finance,_movement,2,0,ALL
2024-06-01,Operations,Junior,4,38200.0,Chiang Mai Hub
2024-06-01,Operations,Mid,4,49400.0,Rayong Plant
2024-06-01,Operations,Senior,3,78400.0,Bangkok HQ
2024-06-01,Operations,Lead,2,83400.0,Bangkok HQ
2024-06-01,Operations,Manager,1,135500.0,Bangkok HQ
2024-06-01,Operations,_movement,0,1,ALL
2024-06-01,HR,Junior,5,27900.0,Rayong Plant
2024-06-01,HR,Mid,5,64200.0,Rayong Plant
2024-06-01,HR,Senior,3,81700.0,Bangkok HQ
