order_id,order_date,ship_date,customer_id,product_id,sales_channel,payment_method,quantity,unit_price,discount,sales_amount,cost_amount,profit,order_status
SO100001,2024-01-01,2024-01-04,C00917,P0028,Sales Rep,Cash on Delivery,1,6888.25,0,6888.25,3890.92,2997.33,Completed
SO100002,2024-01-01,2024-01-03,C00628,P0050,Marketplace,Credit Card,2,1070.16,0.05,2033.3,1233.68,799.62,Completed
SO100003,2024-01-01,2024-01-03,C00549,P0009,Marketplace,PromptPay,1,731.22,0.05,694.66,419.81,274.85,Completed
SO100004,2024-01-01,2024-01-03,C01767,P0048,Retail Shop,Credit Card,1,6484.47,0,6484.47,3708.24,2776.23,Returned
SO100005,2024-01-01,2024-01-02,C00130,P0058,Sales Rep,Bank Transfer,2,2139.32,0,4278.64,2332.52,1946.12,Completed
SO100006,2024-01-01,2024-01-03,C00959,P0043,Marketplace,Bank Transfer,1,4062.61,0,4062.61,2139.05,1923.56,Completed
SO100007,2024-01-01,2024-01-02,C01235,P0037,Retail Shop,Credit Card,2,1155.47,0.2,1848.75,1099.5,749.25,Returned
SO100008,2024-01-01,2024-01-08,C01021,P0043,Marketplace,Cash on Delivery,1,4062.61,0,4062.61,2139.05,1923.56,Completed
SO100009,2024-01-01,2024-01-03,C00902,P0016,Sales Rep,Credit Card,3,9284.71,0.1,25068.72,15724.38,9344.34,Completed
SO100010,2024-01-01,2024-01-02,C00784,P0007,Marketplace,Cash on Delivery,1,3056.43,0,3056.43,1664.13,1392.3,Completed
SO100011,2024-01-01,2024-01-03,C01586,P0002,Sales Rep,Bank Transfer,1,5627.44,0,5627.44,2720.47,2906.97,Completed
SO100012,2024-01-01,2024-01-03,C01614,P0038,Online Store,Cash on Delivery,2,7332.43,0,14664.86,9115.08,5549.78,Completed
SO100013,2024-01-01,2024-01-04,C01665,P0058,Sales Rep,Credit Card,1,2139.32,0,2139.32,1166.26,973.06,Completed
SO100014,2024-01-01,2024-01-03,C00594,P0007,Retail Shop,PromptPay,5,3056.43,0.1,13753.93,8320.65,5433.28,Completed
SO100015,2024-01-01,2024-01-02,C00618,P0053,Online Store,PromptPay,3,3731.52,0,11194.56,7116.45,4078.11,Completed
SO100016,2024-01-01,2024-01-02,C01948,P0021,Online Store,Cash on Delivery,1,8337.14,0.15,7086.57,3902.39,3184.18,Completed
SO100017,2024-01-01,2024-01-03,C00188,P0008,Marketplace,Bank Transfer,2,2251.16,0,4502.32,2808.68,1693.64,Completed
SO100018,2024-01-01,2024-01-02,C01528,P0059,Online Store,PromptPay,4,8973.93,0,35895.72,20212.96,15682.76,Returned
SO100019,2024-01-01,2024-01-03,C01226,P0047,Marketplace,Cash on Delivery,1,2396.3,0,2396.3,1169.77,1226.53,Completed
SO100020,2024-01-01,2024-01-02,C01880,P0051,Marketplace,Cash on Delivery,2,6235.15,0,12470.3,6976.68,5493.62,Completed
SO100021,2024-01-01,2024-01-04,C01758,P0050,Marketplace,Cash on Delivery,2,1070.16,0.05,2033.3,1233.68,799.62,Completed
SO100022,2024-01-01,2024-01-06,C01514,P0059,Retail Shop,Cash on Delivery,3,8973.93,0,26921.79,15159.72,11762.07,Completed
SO100023,2024-01-02,2024-01-07,C00411,P0026,Marketplace,Bank Transfer,1,9740.44,0,9740.44,5440.22,4300.22,Completed
SO100024,2024-01-02,2024-01-04,C01030,P0006,Sales Rep,Cash on Delivery,1,1961.48,0,1961.48,1184.14,777.34,Completed
SO100025,2024-01-02,2024-01-05,C01942,P0017,Retail Shop,Cash on Delivery,2,6305.48,0,12610.96,7383.58,5227.38,Completed
SO100026,2024-01-02,2024-01-04,C01736,P0056,Online Store,PromptPay,2,7329.34,0,14658.68,9519.82,5138.86,Completed
SO100027,2024-01-02,2024-01-03,C00850,P0033,Retail Shop,Cash on Delivery,2,6400.14,0.15,10880.24,8924.06,1956.18,Completed
SO100028,2024-01-02,2024-01-04,C01670,P0001,Marketplace,Bank Transfer,2,5156.72,0.15,8766.42,5106.04,3660.38,Returned
