date,channel,device,sessions,users,pageviews,bounce_rate,avg_session_duration_sec,conversions
2024-01-01,Organic Search,Desktop,982,870,2496,0.389,130.7,22
2024-01-01,Organic Search,Mobile,963,802,3773,0.69,56.2,5
2024-01-01,Organic Search,Tablet,96,74,286,0.375,148.8,1
2024-01-01,Paid Search,Desktop,259,207,853,0.37,140.1,7
2024-01-01,Paid Search,Mobile,324,251,692,0.504,132.6,5
2024-01-01,Paid Search,Tablet,45,41,198,0.401,86.0,1
2024-01-01,Social,Desktop,340,315,706,0.657,225.4,7
2024-01-01,Social,Mobile,450,344,1023,0.378,60.7,11
2024-01-01,Social,Tablet,45,37,111,0.335,144.8,0
2024-01-01,Direct,Desktop,236,179,868,0.352,147.0,1
2024-01-01,Direct,Mobile,309,240,1023,0.373,53.6,6
2024-01-01,Direct,Tablet,52,43,108,0.657,93.9,1
2024-01-01,Email,Desktop,97,85,435,0.548,238.8,0
2024-01-01,Email,Mobile,140,107,442,0.696,120.5,1
2024-01-01,Email,Tablet,21,17,84,0.408,61.5,0
2024-01-01,Referral,Desktop,113,96,501,0.373,74.7,2
2024-01-01,Referral,Mobile,95,81,348,0.395,131.0,0
2024-01-01,Referral,Tablet,17,13,47,0.445,238.0,0
2024-01-02,Organic Search,Desktop,666,611,1224,0.695,134.0,18
2024-01-02,Organic Search,Mobile,1148,909,3163,0.324,112.1,8
2024-01-02,Organic Search,Tablet,155,135,537,0.486,154.3,1
2024-01-02,Paid Search,Desktop,248,204,815,0.669,137.4,3
2024-01-02,Paid Search,Mobile,236,178,1050,0.325,125.2,4
2024-01-02,Paid Search,Tablet,56,46,249,0.697,136.0,1
2024-01-02,Social,Desktop,334,288,992,0.62,120.8,7
2024-01-02,Social,Mobile,452,353,1911,0.557,151.0,5
2024-01-02,Social,Tablet,65,54,118,0.41,209.4,1
2024-01-02,Direct,Desktop,276,247,1202,0.518,158.5,2
2024-01-02,Direct,Mobile,356,336,1507,0.362,53.4,3
2024-01-02,Direct,Tablet,39,33,168,0.616,118.6,0
2024-01-02,Email,Desktop,76,62,254,0.489,221.3,1
2024-01-02,Email,Mobile,108,101,464,0.487,172.4,0
2024-01-02,Email,Tablet,19,16,69,0.525,129.8,0
2024-01-02,Referral,Desktop,65,58,242,0.532,178.3,0
2024-01-02,Referral,Mobile,107,89,240,0.494,137.9,1
2024-01-02,Referral,Tablet,17,15,74,0.547,163.0,0
2024-01-03,Organic Search,Desktop,677,577,1739,0.579,194.6,9
2024-01-03,Organic Search,Mobile,1030,935,3763,0.32,206.9,20
2024-01-03,Organic Search,Tablet,172,131,356,0.447,139.0,4
